-6.0000   1440.0000
-5.8828   1288.9791
-5.7656   1146.9628
-5.6484   1013.6489
-5.5312   888.7397
-5.4141   771.9420
-5.2969   662.9672
-5.1797   561.5312
-5.0625   467.3545
-4.9453   380.1620
-4.8281   299.6832
-4.7109   225.6520
-4.5938   157.8072
-4.4766   95.8915
-4.3594   39.6528
-4.2422   -11.1569
-4.1250   -56.7810
-4.0078   -97.4583
-3.8906   -133.4231
-3.7734   -164.9052
-3.6562   -192.1298
-3.5391   -215.3177
-3.4219   -234.6851
-3.3047   -250.4437
-3.1875   -262.8005
-3.0703   -271.9583
-2.9531   -278.1151
-2.8359   -281.4645
-2.7188   -282.1955
-2.6016   -280.4927
-2.4844   -276.5361
-2.3672   -270.5010
-2.2500   -262.5586
-2.1328   -252.8751
-2.0156   -241.6125
-1.8984   -228.9281
-1.7812   -214.9748
-1.6641   -199.9008
-1.5469   -183.8500
-1.4297   -166.9616
-1.3125   -149.3703
-1.1953   -131.2064
-1.0781   -112.5956
-0.9609   -93.6589
-0.8438   -74.5130
-0.7266   -55.2700
-0.6094   -36.0374
-0.4922   -16.9184
-0.3750    1.9885
-0.2578   20.5894
-0.1406   38.7949
-0.0234   56.5198
 0.0938   73.6839
 0.2109   90.2113
 0.3281   106.0305
 0.4453   121.0748
 0.5625   135.2818
 0.6797   148.5937
 0.7969   160.9573
 0.9141   172.3239
 1.0312   182.6493
 1.1484   191.8937
 1.2656   200.0221
 1.3828   207.0037
 1.5000   212.8125
 1.6172   217.4269
 1.7344   220.8299
 1.8516   223.0090
 1.9688   223.9561
 2.0859   223.6677
 2.2031   222.1450
 2.3203   219.3935
 2.4375   215.4233
 2.5547   210.2491
 2.6719   203.8900
 2.7891   196.3698
 2.9062   187.7165
 3.0234   177.9630
 3.1406   167.1465
 3.2578   155.3089
 3.3750   142.4963
 3.4922   128.7598
 3.6094   114.1546
 3.7266   98.7406
 3.8438   82.5824
 3.9609   65.7487
 4.0781   48.3132
 4.1953   30.3537
 4.3125   11.9529
 4.4297   -6.8023
 4.5469   -25.8201
 4.6641   -45.0046
 4.7812   -64.2552
 4.8984   -83.4665
 5.0156   -102.5290
 5.1328   -121.3284
 5.2500   -139.7461
 5.3672   -157.6587
 5.4844   -174.9384
 5.6016   -191.4530
 5.7188   -207.0655
 5.8359   -221.6347
 5.9531   -235.0146
 6.0703   -247.0548
 6.1875   -257.6003
 6.3047   -266.4918
 6.4219   -273.5651
 6.5391   -278.6517
 6.6562   -281.5787
 6.7734   -282.1684
 6.8906   -280.2386
 7.0078   -275.6030
 7.1250   -268.0701
 7.2422   -257.4443
 7.3594   -243.5255
 7.4766   -226.1089
 7.5938   -204.9852
 7.7109   -179.9407
 7.8281   -150.7570
 7.9453   -117.2113
 8.0625   -79.0762
 8.1797   -36.1198
 8.2969   11.8943
 8.4141   65.2070
 8.5312   124.0638
 8.6484   188.7147
 8.7656   259.4142
 8.8828   336.4215
